Step 0, Time: 0.0204611, CPUs: 64
Step 1, Time: 0.020539, CPUs: 64
Step 2, Time: 0.0206171, CPUs: 64
Step 3, Time: 0.0206956, CPUs: 64
Step 4, Time: 0.0207744, CPUs: 64
Step 5, Time: 0.0208534, CPUs: 64
Step 6, Time: 0.0209328, CPUs: 64
Step 7, Time: 0.0210124, CPUs: 64
Step 8, Time: 0.0210924, CPUs: 64
Step 9, Time: 0.0211726, CPUs: 64
Step 10, Time: 0.0212532, CPUs: 64
Step 11, Time: 0.0213341, CPUs: 64
Step 12, Time: 0.0214153, CPUs: 64
Step 13, Time: 0.0214967, CPUs: 64
Step 14, Time: 0.0215786, CPUs: 64
Step 15, Time: 0.0216607, CPUs: 64
Step 16, Time: 0.0217431, CPUs: 64
Step 17, Time: 0.0218258, CPUs: 64
Step 18, Time: 0.0219089, CPUs: 64
Step 19, Time: 0.0219923, CPUs: 64
Step 20, Time: 0.0220759, CPUs: 64
Step 21, Time: 0.0221599, CPUs: 64
Step 22, Time: 0.0222443, CPUs: 64
Step 23, Time: 0.0223289, CPUs: 64
Step 24, Time: 0.0224139, CPUs: 64
Step 25, Time: 0.0224992, CPUs: 64
Step 26, Time: 0.0225848, CPUs: 64
Step 27, Time: 0.0226707, CPUs: 64
Step 28, Time: 0.022757, CPUs: 64
Step 29, Time: 0.0228436, CPUs: 64
Step 30, Time: 0.0229305, CPUs: 64
Step 31, Time: 0.0230178, CPUs: 64
Step 32, Time: 0.0231054, CPUs: 64
Step 33, Time: 0.0231933, CPUs: 64
Step 34, Time: 0.0232816, CPUs: 64
Step 35, Time: 0.0233701, CPUs: 64
Step 36, Time: 0.0234591, CPUs: 64
Step 37, Time: 0.0235483, CPUs: 64
Step 38, Time: 0.023638, CPUs: 64
Step 39, Time: 0.0237279, CPUs: 64
Step 40, Time: 0.0238182, CPUs: 64
Step 41, Time: 0.0239088, CPUs: 64
Step 42, Time: 0.0239998, CPUs: 64
Step 43, Time: 0.0240911, CPUs: 64
Step 44, Time: 0.0241369, CPUs: 64
Step 45, Time: 0.0241828, CPUs: 64
Step 46, Time: 0.0242288, CPUs: 64
Step 47, Time: 0.0242748, CPUs: 64
Step 48, Time: 0.024321, CPUs: 64
Step 49, Time: 0.0243672, CPUs: 64
Step 50, Time: 0.0244135, CPUs: 64
Step 51, Time: 0.0244599, CPUs: 64
Step 52, Time: 0.0245064, CPUs: 64
Step 53, Time: 0.024553, CPUs: 64
Step 54, Time: 0.0245997, CPUs: 64
Step 55, Time: 0.0246464, CPUs: 64
Step 56, Time: 0.0246933, CPUs: 64
Step 57, Time: 0.0247402, CPUs: 64
Step 58, Time: 0.0247873, CPUs: 64
Step 59, Time: 0.0248344, CPUs: 64
Step 60, Time: 0.0248816, CPUs: 64
Step 61, Time: 0.0249289, CPUs: 64
Step 62, Time: 0.0249763, CPUs: 64
Step 63, Time: 0.0250237, CPUs: 64
Step 64, Time: 0.0250713, CPUs: 64
Step 65, Time: 0.025119, CPUs: 64
Step 66, Time: 0.0251667, CPUs: 64
Step 67, Time: 0.0252145, CPUs: 64
Step 68, Time: 0.0252625, CPUs: 64
Step 69, Time: 0.0253105, CPUs: 64
Step 70, Time: 0.0253586, CPUs: 64
Step 71, Time: 0.0254068, CPUs: 64
Step 72, Time: 0.0254551, CPUs: 64
Step 73, Time: 0.0255035, CPUs: 64
Step 74, Time: 0.025552, CPUs: 64
Step 75, Time: 0.0256005, CPUs: 64
Step 76, Time: 0.0256492, CPUs: 64
Step 77, Time: 0.025698, CPUs: 64
Step 78, Time: 0.0257468, CPUs: 64
Step 79, Time: 0.0257957, CPUs: 64
Step 80, Time: 0.0258448, CPUs: 64
Step 81, Time: 0.0258939, CPUs: 64
Step 82, Time: 0.0259431, CPUs: 64
Step 83, Time: 0.0259924, CPUs: 64
Step 84, Time: 0.0260418, CPUs: 64
Step 85, Time: 0.0260913, CPUs: 64
Step 86, Time: 0.0261409, CPUs: 64
Step 87, Time: 0.0261906, CPUs: 64
Step 88, Time: 0.0262404, CPUs: 64
Step 89, Time: 0.0262903, CPUs: 64
Step 90, Time: 0.0263403, CPUs: 64
Step 91, Time: 0.0263903, CPUs: 64
Step 92, Time: 0.0264405, CPUs: 64
Step 93, Time: 0.0264908, CPUs: 64
Step 94, Time: 0.0265411, CPUs: 64
Step 95, Time: 0.0265916, CPUs: 64
Step 96, Time: 0.0266421, CPUs: 64
Step 97, Time: 0.0266927, CPUs: 64
Step 98, Time: 0.0267435, CPUs: 64
