Step 0, Time: 0.0470615, CPUs: 64
Step 1, Time: 0.0470791, CPUs: 64
Step 2, Time: 0.0470967, CPUs: 64
Step 3, Time: 0.0471318, CPUs: 64
Step 4, Time: 0.047134, CPUs: 64
Step 5, Time: 0.0471362, CPUs: 64
Step 6, Time: 0.0471406, CPUs: 64
Step 7, Time: 0.0471494, CPUs: 64
Step 8, Time: 0.047167, CPUs: 64
Step 9, Time: 0.0471714, CPUs: 64
Step 10, Time: 0.0471758, CPUs: 64
Step 11, Time: 0.0471846, CPUs: 64
Step 12, Time: 0.0472022, CPUs: 64
Step 13, Time: 0.0472033, CPUs: 64
Step 14, Time: 0.0472044, CPUs: 64
Step 15, Time: 0.0472066, CPUs: 64
Step 16, Time: 0.047211, CPUs: 64
Step 17, Time: 0.0472198, CPUs: 64
Step 18, Time: 0.0472375, CPUs: 64
Step 19, Time: 0.0472419, CPUs: 64
Step 20, Time: 0.0472463, CPUs: 64
Step 21, Time: 0.0472551, CPUs: 64
Step 22, Time: 0.0472727, CPUs: 64
Step 23, Time: 0.0472749, CPUs: 64
Step 24, Time: 0.0472771, CPUs: 64
Step 25, Time: 0.0472815, CPUs: 64
Step 26, Time: 0.0472904, CPUs: 64
Step 27, Time: 0.047308, CPUs: 64
Step 28, Time: 0.0473433, CPUs: 64
Step 29, Time: 0.0473444, CPUs: 64
Step 30, Time: 0.0473455, CPUs: 64
Step 31, Time: 0.0473477, CPUs: 64
Step 32, Time: 0.0473521, CPUs: 64
Step 33, Time: 0.047361, CPUs: 64
Step 34, Time: 0.0473787, CPUs: 64
Step 35, Time: 0.0473831, CPUs: 64
Step 36, Time: 0.0473875, CPUs: 64
Step 37, Time: 0.0473963, CPUs: 64
Step 38, Time: 0.047414, CPUs: 64
Step 39, Time: 0.0474162, CPUs: 64
Step 40, Time: 0.0474184, CPUs: 64
Step 41, Time: 0.0474229, CPUs: 64
Step 42, Time: 0.0474317, CPUs: 64
Step 43, Time: 0.0474494, CPUs: 64
Step 44, Time: 0.0474538, CPUs: 64
Step 45, Time: 0.0474583, CPUs: 64
